DYKZ0000000009133,2019-11-20 1:48:00,12.1,5.9,3084,10
DYKZ0000000009131,2019-11-20 1:56:00,12.1,8.3,3185,13
DYKZ0000000009137,2019-11-20 1:57:00,12.2,4.9,3162,13
LSXPHOTO000004007,2019-11-20 1:59:00,12.9,4.2,5,5
LSXPHOTO000004008,2019-11-20 1:59:00,12.9,5.4,4,4
LSXPHOTO000004021,2019-11-20 2:06:00,12.9,6.1,6,5
LSXPHOTO000004002,2019-11-20 2:08:00,12.9,6.4,5,5
LSXPHOTO000004011,2019-11-20 2:11:00,12.9,6.4,5,5
LSXPHOTO000004004,2019-11-20 2:13:00,13,12.7,5,5
DYKZ0000000009133,2019-11-20 2:18:00,12.1,5.9,3085,11
DYKZ0000000009131,2019-11-20 2:26:00,12.1,8.1,3186,14
DYKZ0000000009137,2019-11-20 2:27:00,12.2,4.6,3163,14
LSXPHOTO000004008,2019-11-20 2:29:00,12.9,5.4,5,5
LSXPHOTO000004007,2019-11-20 2:29:01,12.9,4.4,6,6
LSXPHOTO000004021,2019-11-20 2:36:00,12.9,6.1,6,5
LSXPHOTO000004002,2019-11-20 2:38:00,12.9,6.4,5,5
LSXPHOTO000004011,2019-11-20 2:41:00,12.9,6.6,5,5
LSXPHOTO000004004,2019-11-20 2:43:00,13,12.7,5,5
DYKZ0000000009133,2019-11-20 2:48:00,12.1,5.9,3085,11
DYKZ0000000009131,2019-11-20 2:56:00,12,7.8,3186,14
DYKZ0000000009137,2019-11-20 2:57:00,12.2,4.4,3163,14
LSXPHOTO000004008,2019-11-20 2:59:00,12.9,5.4,5,5
LSXPHOTO000004007,2019-11-20 2:59:01,12.9,4.4,6,6
LSXPHOTO000004021,2019-11-20 3:06:00,12.9,6.1,7,6
LSXPHOTO000004002,2019-11-20 3:08:00,12.9,6.4,6,6
LSXPHOTO000004011,2019-11-20 3:11:00,12.9,6.6,6,6
LSXPHOTO000004004,2019-11-20 3:13:01,13,12.5,6,6
DYKZ0000000009133,2019-11-20 3:18:00,12.1,5.9,3086,12
DYKZ0000000009131,2019-11-20 3:26:00,12,7.8,3187,15
DYKZ0000000009137,2019-11-20 3:27:00,12.1,4.2,3164,15
LSXPHOTO000004008,2019-11-20 3:29:00,12.9,5.4,6,6
LSXPHOTO000004007,2019-11-20 3:29:01,12.9,4.4,7,7
LSXPHOTO000004021,2019-11-20 3:36:00,12.9,6.1,7,6
LSXPHOTO000004002,2019-11-20 3:38:00,12.9,6.6,6,6
LSXPHOTO000004011,2019-11-20 3:41:00,12.9,6.4,6,6
LSXPHOTO000004004,2019-11-20 3:43:01,13,12.7,6,6
DYKZ0000000009133,2019-11-20 3:48:00,12.1,5.6,3086,12
DYKZ0000000009131,2019-11-20 3:56:00,12,7.3,3187,15
DYKZ0000000009137,2019-11-20 3:57:00,12.1,4.2,3164,15
LSXPHOTO000004008,2019-11-20 3:59:00,12.9,5.4,6,6
LSXPHOTO000004007,2019-11-20 3:59:01,12.9,4.4,7,7
LSXPHOTO000004021,2019-11-20 4:06:01,12.9,5.9,8,7
LSXPHOTO000004002,2019-11-20 4:08:00,12.9,6.4,7,7
LSXPHOTO000004011,2019-11-20 4:11:00,12.9,6.4,7,7
LSXPHOTO000004004,2019-11-20 4:13:00,13,12.5,7,7
DYKZ0000000009133,2019-11-20 4:18:00,12.1,5.6,3087,13
DYKZ0000000009131,2019-11-20 4:26:00,12,7.1,3188,16
DYKZ0000000009137,2019-11-20 4:27:00,12.1,3.7,3165,16
LSXPHOTO000004008,2019-11-20 4:29:00,12.9,4.9,7,7
LSXPHOTO000004007,2019-11-20 4:29:00,12.9,3.9,8,8
LSXPHOTO000004021,2019-11-20 4:36:00,12.9,5.6,8,7
LSXPHOTO000004002,2019-11-20 4:38:00,12.9,6.1,7,7
LSXPHOTO000004004,2019-11-20 4:43:00,13,12.5,7,7
DYKZ0000000009133,2019-11-20 4:48:00,12.1,5.4,3087,13
DYKZ0000000009131,2019-11-20 4:56:00,12,6.6,3188,16
DYKZ0000000009137,2019-11-20 4:57:00,12.1,3.4,3165,16
LSXPHOTO000004008,2019-11-20 4:59:00,12.9,4.6,7,7
LSXPHOTO000004007,2019-11-20 4:59:00,12.9,3.9,8,8
LSXPHOTO000004021,2019-11-20 5:06:01,12.9,5.4,9,8
LSXPHOTO000004002,2019-11-20 5:08:01,12.9,5.9,8,8
LSXPHOTO000004011,2019-11-20 5:11:00,12.9,5.9,8,8
LSXPHOTO000004004,2019-11-20 5:13:01,13,12.7,8,8
DYKZ0000000009133,2019-11-20 5:18:00,12.1,4.9,3088,14
DYKZ0000000009131,2019-11-20 5:26:00,12,6.4,3189,17
DYKZ0000000009137,2019-11-20 5:27:00,12.1,2.9,3166,17
LSXPHOTO000004008,2019-11-20 5:29:00,12.9,4.4,8,8
LSXPHOTO000004007,2019-11-20 5:29:00,12.9,3.7,9,9
LSXPHOTO000004021,2019-11-20 5:36:01,12.9,5.4,9,8
LSXPHOTO000004002,2019-11-20 5:38:01,12.9,5.6,8,8
LSXPHOTO000004011,2019-11-20 5:41:00,12.9,5.6,8,8
LSXPHOTO000004004,2019-11-20 5:43:01,13,12.7,8,8
DYKZ0000000009133,2019-11-20 5:48:00,12,4.6,3088,14
DYKZ0000000009131,2019-11-20 5:56:00,12,6.4,3189,17
DYKZ0000000009137,2019-11-20 5:57:00,12.1,2.7,3166,17
LSXPHOTO000004008,2019-11-20 5:59:00,12.9,4.6,8,8
LSXPHOTO000004007,2019-11-20 5:59:00,12.9,3.9,9,9
LSXPHOTO000004021,2019-11-20 6:06:01,12.9,5.6,10,9
LSXPHOTO000004002,2019-11-20 6:08:00,12.9,5.9,9,9
LSXPHOTO000004011,2019-11-20 6:11:00,12.9,5.6,9,9
LSXPHOTO000004004,2019-11-20 6:13:01,13,12.7,9,9
DYKZ0000000009133,2019-11-20 6:18:00,12,4.6,3089,15
DYKZ0000000009131,2019-11-20 6:26:00,11.9,6.1,3190,18
DYKZ0000000009137,2019-11-20 6:27:00,12.1,2.7,3167,18
LSXPHOTO000004008,2019-11-20 6:29:00,12.9,4.6,9,9
LSXPHOTO000004007,2019-11-20 6:29:01,12.9,3.9,10,10
LSXPHOTO000004021,2019-11-20 6:36:00,12.9,5.4,10,9
LSXPHOTO000004002,2019-11-20 6:38:00,12.9,5.9,9,9
LSXPHOTO000004011,2019-11-20 6:41:01,12.9,5.6,9,9
LSXPHOTO000004004,2019-11-20 6:43:01,12.9,12.7,9,9
DYKZ0000000009133,2019-11-20 6:48:00,12,4.6,3089,15
DYKZ0000000009131,2019-11-20 6:56:00,11.9,6.1,3190,18
DYKZ0000000009137,2019-11-20 6:57:00,12.1,2.4,3167,18
LSXPHOTO000004008,2019-11-20 6:59:00,12.9,4.6,9,9
LSXPHOTO000004007,2019-11-20 6:59:01,12.9,3.7,10,10
LSXPHOTO000004021,2019-11-20 7:06:01,12.9,5.6,11,10
LSXPHOTO000004002,2019-11-20 7:08:00,12.9,5.9,10,10
LSXPHOTO000004011,2019-11-20 7:11:00,12.9,5.9,10,10
